date,user_rt_id,hashtags,timezone,link,created_at,replies_count,video,source,quote_url,user_rt,photos,retweets_count,geo,urls,reply_to,conversation_id,id,place,near,retweet_date,sentimen,retweet,tweet,likes_count,user_id,mentions,name,time,retweet_id,username
9/26/2019,,[],"SE Asia Standard Time",[],"1.56946E+12",0,,,FALSE,,[],0,,"['http://chng.it/rmYqpM6q']","[{'user_id': '944212401892687872', 'username': 'blackcrow0717'}, {'user_id': '563483976', 'username': 'ChangeOrg_ID'}]","1.17705E+18","1.17705E+18",,,,netral,"https://twitter.com/blackcrow0717/status/1177046237331083264","Gubernur Riau, Jokowi Tunaikan Janji Mu Untuk Hentikan Asap Di Riau  http://chng.it/rmYqpM6q  lewat @ChangeOrg_ID",0,"9.44212E+17","['changeorg_id']","S Syofian",9:24:26,,blackcrow0717
9/26/2019,,[],"SE Asia Standard Time",[],"1.56946E+12",0,,,FALSE,,[],0,,"['http://chng.it/KbgTf2mm']","[{'user_id': '44298357', 'username': 'bee2991'}, {'user_id': '366987179', 'username': 'jokowi'}, {'user_id': '563483976', 'username': 'ChangeOrg_ID'}]","1.17704E+18","1.17704E+18",,,,netral,"https://twitter.com/bee2991/status/1177043557384740864","dear, Gubernur Riau,, pak @jokowi mohon Tunaikan Janji Mu Untuk Hentikan Asap Di Riau  http://chng.it/KbgTf2mm  via @ChangeOrg_ID",0,44298357,"['jokowi', 'changeorg_id']",wenniLee,9:13:47,,bee2991
9/26/2019,,[],"SE Asia Standard Time",[],"1.56946E+12",1,,,FALSE,,[],0,,[],"[{'user_id': '1092027122569211904', 'username': 'cheshirecatwm'}, {'user_id': '366987179', 'username': 'jokowi'}]","1.17704E+18","1.17704E+18",,,,negatif,"https://twitter.com/cheshirecatwm/status/1177036991860359168","Bapak presiden @jokowi yth korban telah berjatuhan bahkan satu anak STM telah hilang nyawa, bapk dimana? Sedang mengurus kerusuhan dimana? Atau sedang tertutup asap bersama saudara kmi yng di kalimantan? Riau? Jambi? Hingga tak dengar lagi suara kami",0,"1.09203E+18","['jokowi']",🐔dinner,8:47:41,,cheshirecatwm
9/26/2019,,[],"SE Asia Standard Time",[],"1.56946E+12",0,,,FALSE,,[],0,,"['https://www.youtube.com/watch?v=t3NjQrOmvm0']","[{'user_id': '223300028', 'username': 'dr_fadly'}]","1.17703E+18","1.17703E+18",,,,netral,"https://twitter.com/dr_fadly/status/1177030665243512832","Demo Mahasiswa Makassar, Yogyakarta, Riau Menuntut Jokowi Turun Tahta  https://www.youtube.com/watch?v=t3NjQrOmvm0 …",0,223300028,[],"Akhmad Fadly Noor",8:22:33,,dr_fadly
9/26/2019,,[],"SE Asia Standard Time",[],"1.56946E+12",0,,,FALSE,,[],0,,[],"[{'user_id': '370702399', 'username': 'arufirmansyah'}, {'user_id': '813490681519828997', 'username': 'permadiaktivis'}, {'user_id': '366987179', 'username': 'jokowi'}]","1.17637E+18","1.17702E+18",,,,negatif,"https://twitter.com/arufirmansyah/status/1177023623711715328","Malas aq liat lu, coba lu terjun langsung ke kalimantan ama riau, mana tu banser lu, tau nya aja nge vlog, tapi tidak melihat substansi terjadi di indonesia",0,370702399,"['permadiaktivis', 'jokowi']",firmansyah,7:54:34,,arufirmansyah
9/26/2019,,[],"SE Asia Standard Time",[],"1.56946E+12",1,,,FALSE,,[],0,,[],"[{'user_id': '1033508266783830017', 'username': 'Anversatile'}, {'user_id': '1495279753', 'username': 'Sopy_Civics'}, {'user_id': '58184629', 'username': 'cinnamongirldr'}, {'user_id': '1096053238661492736', 'username': 'Wong_Panca'}, {'user_id': '1073846310820765697', 'username': 'senapati_New'}, {'user_id': '366987179', 'username': 'jokowi'}]","1.1769E+18","1.17702E+18",,,,negatif,"https://twitter.com/Anversatile/status/1177022853750804480","Sudah di cross check? Video kapan dan dimana, tanggal berapa , sumber dari mana, jika benar, apa harus presiden bulak balik riau? Sementara gubernur, dprd, pemda setempat juga ada disana tapi tidak bergerak, marah sama pemerintah setempat dong mbaa, presiden tangannya cuma dua.",0,"1.03351E+18","['sopy_civics', 'cinnamongirldr', 'wong_panca', 'senapati_new', 'jokowi']",e,7:51:31,,anversatile
9/26/2019,,[],"SE Asia Standard Time",[],"1.56946E+12",1,,,FALSE,,[],0,,[],"[{'user_id': '1033508266783830017', 'username': 'Anversatile'}, {'user_id': '1495279753', 'username': 'Sopy_Civics'}, {'user_id': '58184629', 'username': 'cinnamongirldr'}, {'user_id': '1096053238661492736', 'username': 'Wong_Panca'}, {'user_id': '1073846310820765697', 'username': 'senapati_New'}, {'user_id': '366987179', 'username': 'jokowi'}]","1.1769E+18","1.17701E+18",,,,positif,"https://twitter.com/Anversatile/status/1177009996212494337","Ibu maaf ya , setau saya jokowi sudah turun ke riau, trs kalau masaah ngevlog , sepengetahuan saya ngevlog itu gak hari H lgsung di upload videonya, bisa jadi video satu bulan lalu, atau minggu lalu, butuh waktu pengeditan, lalu di upload. Jangan jadi provokator :)",0,"1.03351E+18","['sopy_civics', 'cinnamongirldr', 'wong_panca', 'senapati_new', 'jokowi']",e,7:00:25,,anversatile
9/26/2019,,[],"SE Asia Standard Time",[],"1.56946E+12",0,,,FALSE,,[],0,,[],"[{'user_id': '503989093', 'username': 'Milaniaaaa_'}, {'user_id': '2372004222', 'username': 'tanya2rl'}]","1.17701E+18","1.17701E+18",,,,negatif,"https://twitter.com/Milaniaaaa_/status/1177008139348000768","jokowinya satu masalah yang dituntut banyakk.. riau yang disalahin jokowi papua yang disalahin jokowi ruu yang disalahin jokowi.. coba temen kamu suruh jadi jokowi aja gimana",0,503989093,"['tanya2rl']","ＭＩＬ Λ Ｎ",6:53:02,,milaniaaaa_
9/26/2019,,[],"SE Asia Standard Time",[],"1.56946E+12",0,,,FALSE,,[],0,,[],"[{'user_id': '803166778398343168', 'username': 'demi_sutantyo'}, {'user_id': '1032817946039484416', 'username': 'ree_njani'}, {'user_id': '366987179', 'username': 'jokowi'}]","1.17669E+18","1.17701E+18",,,,positif,"https://twitter.com/demi_sutantyo/status/1177006586801184768","g trlalu banyak itu mbk10 juta. orang riau aja cm 5 juta jiwa",0,"8.03167E+17","['ree_njani', 'jokowi']","demian seven",6:46:52,,demi_sutantyo
9/26/2019,,[],"SE Asia Standard Time",[],"1.56945E+12",0,,,FALSE,,[],0,,"['http://chng.it/Q2ztWGpv']","[{'user_id': '1127779771', 'username': 'sarah_mysarh'}, {'user_id': '563483976', 'username': 'ChangeOrg_ID'}]","1.177E+18","1.177E+18",,,,netral,"https://twitter.com/sarah_mysarh/status/1177003673647403013","Let's help them. Click this petition. Thanks  Gubernur Riau, Jokowi Tunaikan Janji Mu Untuk Hentikan Asap Di Riau  http://chng.it/Q2ztWGpv  via @ChangeOrg_ID",0,1127779771,"['changeorg_id']",sarah,6:35:18,,sarah_mysarh
